"User-ID";"Location";"Age"
"2";"stockton, california, usa";"18"
"8";"timmins, ontario, canada";NULL
"254";"minneapolis, minnesota, usa";"24"
"709";"roanoke, virginia, usa";"14"
"711";"oxford, england, united kingdom";"27"
"712";"pratteln, baselland, switzerland";"29"
"713";"abingdon, n/a, united kingdom";"49"
"714";"austin, texas, usa";NULL
"717";"spring hill, florida, usa";NULL
"720";"washington dc, dc, usa";"16"
"724";"jamestown, california, usa";NULL
"726";"eatontown, new jersey, usa";"31"
"728";"welsh, louisiana, usa";NULL
"730";"albuquerque, new mexico,";"69"
"735";"cortland, new york, usa";"29"
"736";"trebur, hessen, germany";"34"
"737";"albuquerque, new mexico, usa";NULL
"739";"oakdale, minnesota, usa";"55"
"741";"novinger, missouri, usa";"16"
"882";"berkeley, california, usa";"23"
"885";"jacksonville, texas, usa";NULL
"929";"king of prussia, ,";"36"
"1129";"bothell, washington, usa";"53"
"1131";"berkeley, ,";"22"
"1435";"st. louis, missouri, usa";"36"
"1511";"cuyahoga falls, ohio, usa";"25"
"1733";"independence, west virginia, usa";"30"
"1848";"bellingham, washington, usa";"22"
"1928";"kansas city, missouri, usa";"17"
"2019";"carcavelos, n/a, portugal";"29"
"2110";"charlotte, north carolina, usa";NULL
"2204";"el cajon, california, usa";NULL
"2276";"niskayuna, new york, usa";"46"
"2632";"farmingdale, new york, usa";"47"
"2766";"frisco, texas, usa";"42"
"2793";"jefferson, georgia, usa";"34"
"2954";"wichita, kansas, usa";"71"
"3017";"roma, lazio, italy";NULL
"3093";"belle plaine, iowa, usa";"46"
"3099";"ume�, v�sterbotten, sweden";NULL
"3167";"milwaukee, wisconsin, usa";"42"
"3363";"knoxville, tennessee, usa";"29"
"3371";"groveland, massachusetts, usa";"25"
"3948";"asheville, north carolina, usa";NULL
"4017";"new orleans, louisiana, usa";"48"
"4795";"rochester, new york, usa";"18"
"4878";"mt.pleasant, south carolina, usa";NULL
"5037";"dodge center, minnesota, usa";"26"
"5609";"oradea, bihor, romania";"25"
"5709";"bayan lepas, penang, malaysia";"15"
"6073";"houston, texas, usa";"28"
"6251";"wahiawa, hawaii, usa";"32"
"6323";"wilmington, north carolina, usa";"35"
"6505";"topeka, kansas, usa";"56"
"6563";"burien, washington, usa";"31"
"6575";"seattle, washington, usa";NULL
"6854";"fort pierce, florida, usa";NULL
"6866";"paris, ile de france, france";"51"
"6867";"wellfleet, massachusetts, usa";"23"
"6871";"raleigh, north carolina, usa";"28"
"7050";"westbank, british columbia, canada";NULL
"7158";"omaha, nebraska, usa";"30"
"7210";"rothesay, new brunswick, canada";NULL
"7253";"augusta, georgia, usa";"32"
"7266";"niagara falls, new york, usa";NULL
"7319";"pittsburgh, pennsylvania, usa";"23"
"7346";"sunnyvale, california, usa";"49"
"7569";"tulsa, , usa";"22"
"7620";"knoxville, tennessee, usa";"21"
"7721";"adelaide, south australia, australia";NULL
"7860";"northfield, massachusetts, usa";NULL
"7915";"st. paul, minnesota, usa";NULL
"8245";"torrance, california, usa";"31"
"8362";"los angeles, california, usa";"28"
"8487";"carrollton, texas, usa";"30"
"8782";"calgary, alberta, canada";"239"
"8936";"elizabeth city, north carolina, usa";"18"
"9417";"whitby, ontario, canada";"26"
"9721";"san dimas, california, usa";"47"
"9735";"new freedom, pennsylvania, usa";"16"
"9747";"o`fallon, missouri, usa";NULL
"9856";"glendale, colorado, usa";"22"
"9908";"woodstock, georgia, usa";"36"
"10030";"pittsburgh, pennsylvania, usa";"66"
"10161";"bellingham, washington, usa";NULL
"10164";"mccomb, mississippi, usa";"34"
"10461";"houston, texas, usa";NULL
"10560";"chicago, illinois, usa";"27"
"10590";"shah alam, selangor, malaysia";"22"
"10819";"richmond, kentucky, usa";"27"
"11283";"naples, maine, usa";NULL
"11358";"london, england, united kingdom";NULL
"11400";"ottawa, ontario, canada";"49"
"11601";"brooklyn, new york, usa";NULL
"11676";"n/a, n/a, n/a";NULL
"11819";"dunbar, west virginia, usa";"52"
"11944";"santo tirso, porto, portugal";"21"
"11993";"lakewood, colorado, usa";"37"
"12515";"redwood city, california, usa";NULL
"12538";"byron, minnesota, usa";"18"
"12824";"long beach, california, usa";"18"
"12863";"london, england, united kingdom";"29"
"13094";"schenectady, new york, usa";"24"
"13331";"champaign, illinois, usa";"58"
"13518";"fishers, indiana, usa";"27"
"13552";"cordova, tennessee, usa";"32"
"13582";"lisboa, lisboa, portugal";"29"
"13850";"online, n/a, usa";"28"
"13863";"sherwood, oregon, usa";NULL
"13907";"t�bingen, baden-wuerttemberg, germany";"27"
"14374";"porter, maine, usa";"57"
"14422";"apple valley, minnesota, usa";NULL
"14521";"providence, rhode island, usa";NULL
"14638";"roquemaure, languedoc roussillon, france";"33"
"14655";"willow street, pennsylvania, usa";"16"
"14683";"london, ontario, canada";"30"
"15156";"toowoomba, queensland, australia";"37"
"15408";"cary, north carolina, usa";"34"
"15418";"vitoria, �lava, spain";"23"
"15602";"cherry hill, new jersey, usa";"21"
"15819";"grapevine, texas, usa";NULL
"15945";"charlotte, north carolina, usa";"36"
"16036";"crestview, florida, usa";NULL
"16185";"washington, dc, usa";"21"
"16246";"kitakyushu, fukuoka, japan";"32"
"16551";"aurora, colorado, usa";NULL
"16634";"little rock, arkansas, usa";"42"
"16795";"mechanicsville, maryland, usa";"47"
"16916";"hackettstown, new jersey, usa";"53"
"17453";"kenner, louisiana, usa";NULL
"17661";"new york, new york, usa";"25"
"17667";"iowa city, iowa, usa";"33"
"17851";"philadelphia, pennsylvania, usa";"52"
"17859";"roanoke, virginia, usa";"43"
"17894";"alabaster, alabama, usa";"47"
"17950";"puchong, selangor, malaysia";"32"
"18002";"oakville, ontario, canada";"23"
"18067";"kajang, selangor, malaysia";"33"
"18094";"hollywood, california, usa";NULL
"18554";"attleboro, massachusetts, usa";NULL
"18802";"st. louis, missouri, usa";"16"
"19096";"stockport   cheshire, england, united kingdom";"45"
"19570";"bolingbrook, illinois, usa";"63"
"19664";"katonah, new york, usa";"19"
"19694";"sicklerville, new jersey, usa";"42"
"19935";"edmonton, alberta, canada";"58"
"19969";"antelope, california, usa";"44"
"20115";"lansdale, pennsylvania, usa";"32"
"20172";"saratoga springs, utah, usa";"27"
"20201";"grove city, ohio, usa";"31"
"20446";"christchurch, canterbury, new zealand";"38"
"20462";"bossier city, louisiana, usa";NULL
"20570";"kansas city, missouri, usa";"40"
"20804";"hendersonville, north carolina, usa";"56"
"21014";"fresno, california, usa";NULL
"21031";"alexandria, virginia, usa";"36"
